id|dxcc_id|code|subdivision
1|287|AG|Aargau
2|287|AR|Appenzell Ausserrhoden
3|287|AI|Appenzell Innerrhoden
4|287|BL|Basel Landschaft
5|287|BS|Basel Stadt
6|287|BE|Bern
7|287|FR|Freiburg / Fribourg
8|287|GE|Genf / Genève
9|287|GL|Glarus
10|287|GR|Graubuenden / Grisons
11|287|JU|Jura
12|287|LU|Luzern
13|287|NE|Neuenburg / Neuchâtel
14|287|NW|Nidwalden
15|287|OW|Obwalden
16|287|SH|Schaffhausen
17|287|SZ|Schwyz
18|287|SO|Solothurn
19|287|SG|St. Gallen
20|287|TI|Tessin / Ticino
21|287|TG|Thurgau
22|287|UR|Uri
23|287|VD|Waadt / Vaud
24|287|VS|Wallis / Valais
25|287|ZH|Zuerich
26|287|ZG|Zug
