pas291_ituzone_id|pas291_id|ituzone_id
1|1|8
2|2|8
3|3|8
4|4|8
5|5|8
6|6|8
7|7|8
8|8|8
9|9|8
10|10|8
11|11|8
12|12|8
13|13|8
14|14|8
15|15|8
16|16|8
17|17|8
18|18|8
19|19|7
20|19|8
21|20|8
22|21|7
23|21|8
24|22|7
25|22|8
26|23|7
27|23|8
28|24|7
29|25|7
30|26|7
31|27|6
32|28|6
33|28|7
34|29|6
35|30|6
36|30|7
37|31|6
38|32|6
39|33|6
40|33|7
41|34|6
42|35|7
43|36|7
44|36|8
45|37|8
46|38|8
47|39|7
48|39|8
49|40|8
50|41|7
51|41|8
52|42|7
53|43|7
54|44|7
55|45|7
56|46|7
57|46|8
58|47|7
59|48|7
60|49|7
