id|prefecture|prefix
1|HOKKAIDO|01
2|AOMORI|02
3|IWATE|03
4|AKITA |04
5|YAMAGATA|05
6|MIYAGI|06
7|FUKUSHIMA|07
8|NIIGATA|08
9|NAGANO|09
10|TOKYO|10
11|KANAGAWA|11
12|CHIBA|12
13|SAITAMA|13
14|IBARAKI|14
15|TOCHIGI|15
16|GUNMA|16
17|YAMANASHI|17
18|SHIZUOKA|18
19|GIFU|19
20|AICHI|20
21|MIE|21
22|KYOTO|22
23|SHIGA|23
24|NARA|24
25|OSAKA|25
26|WAKAYAMA|26
27|HYOGO|27
28|TOYAMA|28
29|FUKUI|29
30|ISHIKAWA|30
31|OKAYAMA|31
32|SHIMANE|32
33|YAMAGUCHI|33
34|TOTTORI|34
35|HIROSHIMA|35
36|KAGAWA|36
37|TOKUSHIMA|37
38|EHIME|38
39|KOCHI|39
40|FUKUOKA|40
41|SAGA|41
42|NAGASAKI|42
43|KUMAMOTO|43
44|OITA|44
45|MIYAZAKI|45
46|KAGOSHIMA|46
47|OKINAWA|47
