id|prefix|rdxc_code|oblast|is_deleted
1|UA8V|AB|Agunsky-Burjatsky |1
2|UA6Y|AD|Republic of Adygeya|0
3|UA9Y|AL|Altaysky Kraj|0
4|UA0J|AM|Amurskaya oblast|0
5|UA6U|AO|Astrakhanskaya oblast|0
6|UA1O|AR|Arkhangelskaya oblast|0
7|UA9W|BA|Republic of Bashkortostan|0
8|UA3Z|BO|Belgorodskaya oblast|0
9|UA3Y|BR|Bryanskaya oblast|0
10|UA0O|BU|Republic of Buryatia|0
11|UA9A|CB|Chelyabinskaya oblast|0
12|UA0K|CK|Chukotka Autonomous Okrug|0
13|UA6P|CN|Republic Chechnya|0
14|UA4Y|CU|Republic of Chuvashia|0
15|UA6W|DA|Republic of Daghestan|0
16|UA0D|EA|Yevreyskaya Autonomous Oblast|0
17|UA0H|EV|Evenkijsky AO|1
18|UA9Z|GA|Republic Gorny Altay|0
19|UA0W|HA|Republic of Khakassia|0
20|UA0C|HK|Khabarovsky Kraj|0
21|UA9J|HM|Khanty-Mansyisky Autonomous Okrug|0
22|UA6Q|IN|Republic of Ingushetia|0
23|UA0S|IR|Irkutskaya oblast|0
24|UA3U|IV|Ivanovskaya oblast|0
25|UA2F|KA|Kaliningradskaya oblast|0
26|UA6X|KB|Republic of Kabardino-Balkaria|0
27|UA6E|KC|Republic of Karachaevo-Cherkessia|0
28|UA9U|KE|Kemerovskaya oblast|0
29|UA3X|KG|Kaluzhskaya oblast|0
30|UA4N|KI|Kirovskaya oblast|0
31|UA0A|KK|Krasnoyarsk Kraj|0
32|UA1N|KL|Republic of Karelia|0
33|UA6I|KM|Republic of Kalmykia|0
34|UA9Q|KN|Kurganskaya oblast|0
35|UA9X|KO|Republic of Komi|0
36|UA9G|KP|Komi-Permjatsky AO|1
37|UA6A|KR|Krasnodarsky Kraj|0
38|UA3N|KS|Kostromskaya oblast|0
39|UA0Z|KT|Kamchatskaya oblast|0
40|UA3W|KU|Kurskaya oblast|0
41|UA0X|KY|Korjaksky AO|1
42|UA1C|LO|Leningradskaya oblast|0
43|UA3G|LP|Lipetskaya oblast|0
44|UA3A|MA|City of Moscow|0
45|UA4U|MD|Republic of Mordovia|0
46|UA0I|MG|Magadanskaya oblast|0
47|UA3D|MO|Moscowskaya oblast|0
48|UA4S|MR|Republic of Marij-El|0
49|UA1Z|MU|Murmanskaya oblast|0
50|UA3T|NN|Nizhegorodskaya oblast|0
51|UA1P|NO|Nenetsky Autonomous Okrug|0
52|UA9O|NS|Novosibirskaya oblast|0
53|UA1T|NV|Novgorodskaya oblast|0
54|UA9S|OB|Orenburgskaya oblast|0
55|UA9M|OM|Omskaya oblast|0
56|UA3E|OR|Orlovskaya oblast|0
57|UA4F|PE|Penzenskaya oblast|0
58|UA0L|PK|Primorsky Kraj|0
59|UA9F|PM|Permskaya oblast|0
60|UA1W|PS|Pskovskaya oblast|0
61|UA3S|RA|Ryazanskaya oblast|0
62|UA6K|RK|Republic Crimea|0
63|UA6L|RO|Rostovskaya oblast|0
64|UA4C|SA|Saratovskaya oblast|0
65|UA6R|SE|Sevastopol|0
66|UA0F|SL|Sakhalinskaya oblast|0
67|UA3L|SM|Smolenskaya oblast|0
68|UA6J|SO|Republic of Northern Ossetia|0
69|UA1A|SP|City of St.-Petersburg|0
70|UA4H|SR|Samarskaya oblast|0
71|UA6H|ST|Stavropolsky Kraj|0
72|UA9C|SV|Sverdlovskaya oblast|0
73|UA4P|TA|Republic of Tatarstan|0
74|UA3R|TB|Tambovskaya oblast|0
75|UA3P|TL|Tul`skaya oblast|0
76|UA0B|TM|Tajmyrsky (Dolgano-Nenetsky) AO |1
77|UA9L|TN|Tyumenskaya oblast|0
78|UA9H|TO|Tomskaya oblast|0
79|UA0Y|TU|Republic of Tuva|0
80|UA3I|TV|Tverskaya oblast|0
81|UA4W|UD|Republic of Udmurtia|0
82|UA4L|UL|Ulyanovskaya oblast|0
83|UA8T|UO|Ust`-Ordynsky Burjatsky AO|1
84|UA4A|VG|Volgogradskaya oblast|0
85|UA3V|VL|Vladimirskaya oblast|0
86|UA1Q|VO|Vologodskaya oblast|0
87|UA3Q|VR|Voronezhskaya oblast|0
88|UA0Q|YA|Republic of Yakutia|0
89|UA9K|YN|Yamalo-Nenetsky Autonomous Okrug|0
90|UA3M|YR|Yaroslavskaya oblast|0
91|UA0U|ZK|Zabajkal`skiy Kraj|0
